Genes	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
ENSRNOG00000052788	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000023549	6	2	5	7	12	6	6	15	16	4
ENSRNOG00000031859	0	2	1	0	0	1	3	1	2	1
ENSRNOG00000013351	105	96	82	85	68	119	83	85	124	74
ENSRNOG00000061755	1	0	0	1	0	0	0	0	0	0
ENSRNOG00000053182	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000042741	2	1	2	1	0	1	3	0	0	0
ENSRNOG00000014258	24	32	15	16	21	16	16	43	31	19
ENSRNOG00000057302	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000014290	3	0	0	1	0	3	0	0	3	2
ENSRNOG00000041566	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000014431	0	0	1	0	0	0	0	1	0	0
ENSRNOG00000014450	111	58	73	66	82	82	77	70	92	50
ENSRNOG00000014852	175	104	114	137	96	102	130	120	136	91
ENSRNOG00000052274	0	0	0	0	0	0	0	0	1	0
ENSRNOG00000040242	66	33	54	52	36	60	41	33	50	23
ENSRNOG00000054906	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058048	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000051844	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000053880	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000011058	1039	839	792	598	616	894	660	620	958	566
ENSRNOG00000014902	25	16	13	14	7	17	9	27	20	8
ENSRNOG00000014908	93	108	82	80	67	115	83	83	104	69
ENSRNOG00000036310	1	0	0	0	0	0	0	0	0	0
ENSRNOG00000025587	4	1	3	4	6	9	6	6	8	1
ENSRNOG00000042705	2	2	2	1	2	1	4	3	0	1
ENSRNOG00000043188	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000015217	28	33	45	26	27	38	32	32	33	17
ENSRNOG00000015473	76	56	59	45	44	58	52	48	79	39
ENSRNOG00000015551	70	68	52	58	38	75	80	69	62	68
ENSRNOG00000015660	79	51	64	65	70	60	75	102	91	63
ENSRNOG00000046983	0	1	1	0	0	0	0	1	0	1
ENSRNOG00000016624	0	0	0	0	1	0	0	0	0	0
ENSRNOG00000010753	32	18	32	33	25	39	31	32	43	32
ENSRNOG00000011015	222	205	145	153	149	285	203	174	268	131
ENSRNOG00000011399	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000011411	16	20	14	17	8	38	12	12	25	13
ENSRNOG00000011540	105	89	72	85	65	73	59	85	107	50
ENSRNOG00000012092	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000012103	1	2	0	0	0	0	0	0	0	0
ENSRNOG00000059930	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000059032	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056005	5	3	1	1	0	0	1	2	6	0
ENSRNOG00000055342	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000047798	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000059769	0	0	0	0	0	1	0	0	0	0
ENSRNOG00000047193	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000060990	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058425	1	2	0	0	0	3	1	0	5	1
ENSRNOG00000055421	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000051831	0	0	0	0	0	2	0	0	0	0
ENSRNOG00000052007	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000061685	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000047746	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000053888	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000055836	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000060657	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000059898	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000055789	7	2	2	4	3	9	1	3	1	5
ENSRNOG00000062232	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000055660	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000060284	0	0	0	0	0	0	0	1	0	0
ENSRNOG00000056019	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000059861	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056940	483	290	384	319	254	508	491	520	582	196
ENSRNOG00000055972	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000060021	2123	1754	1978	2105	1798	1992	1647	1424	1885	1586
ENSRNOG00000060610	0	0	1	0	0	0	0	0	0	0
ENSRNOG00000060972	353	239	283	297	266	376	314	311	399	250
ENSRNOG00000051450	10	8	9	12	7	14	19	27	19	17
ENSRNOG00000059224	50	35	32	42	37	43	44	26	58	30
ENSRNOG00000055142	1	1	0	2	1	2	3	1	0	4
ENSRNOG00000052189	1	0	0	0	0	0	0	0	1	5
ENSRNOG00000053331	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000053347	47	45	46	50	26	37	26	33	45	23
ENSRNOG00000059393	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000060603	299	222	320	279	219	263	227	231	279	216
ENSRNOG00000053735	1	2	3	2	1	2	2	1	1	0
ENSRNOG00000053184	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000011460	6	5	6	7	4	7	4	3	7	4
ENSRNOG00000025799	1	3	0	1	0	0	2	2	0	2
ENSRNOG00000011994	243	179	185	199	201	224	185	155	269	224
ENSRNOG00000049517	12	29	20	27	16	32	27	18	42	24
ENSRNOG00000058088	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054373	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000012057	1	0	0	0	1	0	0	0	0	0
ENSRNOG00000053291	0	0	0	2	0	0	0	0	1	2
ENSRNOG00000012074	200	177	122	122	88	224	165	199	249	90
ENSRNOG00000012259	0	0	1	1	1	0	0	0	0	0
ENSRNOG00000012286	1	0	0	1	0	2	0	0	1	0
ENSRNOG00000057719	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000012311	0	0	0	0	0	0	1	0	1	1
ENSRNOG00000012322	43	30	45	34	29	40	27	28	29	22
ENSRNOG00000031700	298	178	200	176	178	174	173	160	188	149
ENSRNOG00000054452	0	1	0	0	0	0	0	0	0	0
ENSRNOG00000012701	32	31	37	35	30	35	25	25	20	14
ENSRNOG00000053505	0	0	1	0	2	1	0	1	2	0
ENSRNOG00000058050	215	148	160	139	131	211	122	139	211	109
ENSRNOG00000013436	108	72	66	84	66	106	97	89	127	60
ENSRNOG00000058518	0	0	0	0	0	0	1	0	0	0
ENSRNOG00000053617	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000013969	42	28	28	29	32	35	30	21	32	42
ENSRNOG00000055858	5	2	1	4	2	0	1	2	3	0
ENSRNOG00000014531	640	485	503	521	383	564	441	474	578	404
ENSRNOG00000014907	0	2	1	0	1	1	2	0	0	1
ENSRNOG00000052464	1	0	0	0	0	0	0	0	0	0
ENSRNOG00000058612	0	1	0	0	0	0	0	0	0	0
ENSRNOG00000048762	167	111	140	86	92	156	120	174	208	118
ENSRNOG00000058363	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000014979	1	1	0	0	0	0	0	2	2	0
ENSRNOG00000055971	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000047605	457	348	347	315	244	253	224	260	338	203
ENSRNOG00000046617	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000047754	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000028519	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000011134	3052	1927	2251	1861	1500	2378	1879	2222	2474	1445
ENSRNOG00000046438	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000057281	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058772	0	0	0	0	1	0	0	0	0	0
ENSRNOG00000011245	92	72	72	63	62	87	62	84	87	78
ENSRNOG00000030796	0	0	1	0	0	0	0	0	0	0
ENSRNOG00000051380	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000011720	8	5	7	5	4	9	4	8	8	8
ENSRNOG00000033517	58	74	69	62	50	83	57	77	64	47
ENSRNOG00000039955	1	0	0	0	0	1	0	1	0	0
ENSRNOG00000050801	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000049569	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000047783	1	1	2	0	1	0	1	0	0	1
ENSRNOG00000011855	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000053931	0	0	1	0	0	0	0	2	0	0
ENSRNOG00000026462	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056218	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000047821	0	1	0	0	0	0	0	0	0	0
ENSRNOG00000012346	52	46	50	42	34	52	29	26	83	22
ENSRNOG00000013202	29	17	29	26	21	31	23	25	31	16
ENSRNOG00000055111	0	1	3	3	0	2	0	2	2	2
ENSRNOG00000054921	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000053999	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000052696	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000013304	3	4	2	1	1	3	1	0	1	0
ENSRNOG00000013422	107	56	57	53	53	75	64	73	83	51
ENSRNOG00000013791	42	32	20	25	18	42	26	41	39	13
ENSRNOG00000053913	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000013994	83	73	47	47	42	76	58	84	106	50
ENSRNOG00000015036	147	117	161	254	105	273	146	331	190	182
ENSRNOG00000015321	0	0	0	0	1	0	1	0	1	4
ENSRNOG00000015670	7	4	9	8	5	4	4	2	6	5
ENSRNOG00000026096	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056705	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000048934	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000030414	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000039872	0	0	0	0	0	0	1	0	0	0
ENSRNOG00000048072	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000052726	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000048265	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000046903	1	0	0	0	0	0	0	0	0	0
ENSRNOG00000045914	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000047825	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000046302	0	1	0	0	0	0	0	0	0	0
ENSRNOG00000016095	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000016089	1	0	0	0	0	0	0	0	0	0
ENSRNOG00000039869	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000029877	0	0	0	0	0	0	0	0	0	1
ENSRNOG00000025982	0	0	0	0	0	0	1	1	0	0
ENSRNOG00000025951	2	1	2	0	0	1	0	0	2	0
ENSRNOG00000016073	0	0	1	0	0	0	0	0	0	1
ENSRNOG00000016219	241	255	236	264	181	346	241	338	284	132
ENSRNOG00000039865	4	1	0	0	2	1	0	2	3	2
ENSRNOG00000016371	43	37	30	53	37	48	28	49	45	26
ENSRNOG00000060376	4	4	2	8	7	5	5	4	2	3
ENSRNOG00000016411	3	1	4	1	3	5	3	1	5	2
ENSRNOG00000057952	1154	695	1077	1735	2146	1362	1812	2198	1623	1610
ENSRNOG00000061678	362	253	336	502	639	370	407	572	433	326
ENSRNOG00000054517	5	4	12	2	6	4	0	6	9	4
ENSRNOG00000016627	57	42	38	51	34	45	44	52	44	36
ENSRNOG00000048248	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000016700	35	16	23	15	23	13	15	16	39	12
ENSRNOG00000011114	101	112	88	110	106	137	81	115	101	68
ENSRNOG00000011161	178	157	183	211	161	224	177	180	168	113
ENSRNOG00000051597	0	0	1	0	0	0	0	0	0	0
ENSRNOG00000057722	0	0	0	0	0	0	0	1	0	0
ENSRNOG00000011815	75	74	44	40	63	90	34	53	103	48
ENSRNOG00000059690	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000051379	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000059251	0	0	1	0	0	0	0	0	0	0
ENSRNOG00000061761	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056881	1	6	2	6	3	2	0	0	1	3
ENSRNOG00000055637	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058047	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000052999	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000048976	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000048796	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054246	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000012122	5	2	1	1	1	0	0	0	0	1
ENSRNOG00000062105	0	0	0	0	2	0	0	0	1	0
ENSRNOG00000062163	5	1	1	4	0	2	0	3	4	3
ENSRNOG00000062138	1	6	0	5	1	5	1	1	3	0
ENSRNOG00000012609	809	582	654	616	507	641	501	505	715	477
ENSRNOG00000058582	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000029608	0	0	0	0	0	1	0	0	0	0
ENSRNOG00000052712	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000057890	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056670	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000013323	47	32	51	35	46	56	27	43	53	30
ENSRNOG00000021478	190	155	143	171	146	160	159	172	177	140
ENSRNOG00000021442	19	14	13	13	12	23	20	16	20	4
ENSRNOG00000041720	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000013364	91	29	59	65	59	54	54	40	66	34
ENSRNOG00000014004	20	17	20	12	17	19	17	25	27	11
ENSRNOG00000045369	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000014190	92	69	80	75	62	77	38	64	82	78
ENSRNOG00000014240	11	3	12	7	5	6	12	15	12	8
ENSRNOG00000042944	0	1	0	0	0	0	1	1	0	0
ENSRNOG00000060033	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000050157	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056383	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000061372	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056484	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000011568	1	1	0	2	3	1	3	3	0	2
ENSRNOG00000011588	177	143	139	149	116	162	109	136	171	126
ENSRNOG00000011622	73	41	54	45	41	69	43	48	49	34
ENSRNOG00000054753	0	0	0	0	0	0	0	0	0	1
ENSRNOG00000042309	7	11	5	3	2	6	2	3	10	4
ENSRNOG00000012324	3	1	1	0	0	1	0	1	2	1
ENSRNOG00000061741	0	0	0	0	0	0	0	1	0	0
ENSRNOG00000054845	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000023407	2	2	1	0	0	2	1	0	3	1
ENSRNOG00000023387	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000012581	3	4	3	4	2	3	5	5	6	4
ENSRNOG00000039788	0	0	0	0	0	0	0	1	0	0
ENSRNOG00000051400	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000039783	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000028357	506	394	408	477	391	431	409	395	430	348
ENSRNOG00000012775	96	77	64	76	81	112	86	89	111	73
ENSRNOG00000013331	4953	3166	4064	3300	2806	4131	3159	3109	4216	2918
ENSRNOG00000014485	335	276	295	299	215	336	300	352	317	204
ENSRNOG00000014721	4	2	8	3	0	4	1	1	2	3
ENSRNOG00000039776	241	143	160	158	111	217	153	160	213	124
ENSRNOG00000015159	11	9	8	14	4	15	9	21	12	12
ENSRNOG00000015465	1	0	0	4	0	0	2	1	6	1
ENSRNOG00000028261	46	27	39	35	38	36	20	47	38	28
ENSRNOG00000039743	1	0	0	0	0	0	0	1	0	0
ENSRNOG00000060926	1	0	0	0	1	0	0	1	0	0
ENSRNOG00000015676	87	52	73	73	56	82	58	67	92	61
ENSRNOG00000015810	5	1	4	2	2	6	1	7	2	1
ENSRNOG00000051415	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000045233	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000016103	6	14	8	10	10	2	5	3	11	9
ENSRNOG00000016372	2476	1941	2197	2101	1522	2093	1289	1716	1967	1556
ENSRNOG00000056712	1	0	0	0	0	0	0	1	1	0
ENSRNOG00000026501	1	1	0	0	0	1	0	0	1	0
ENSRNOG00000016253	1	1	0	1	0	1	0	0	1	0
ENSRNOG00000061518	0	0	0	0	0	0	2	0	0	1
ENSRNOG00000025327	33	12	17	5	10	13	20	16	26	5
ENSRNOG00000016923	284	285	252	290	242	347	264	303	318	226
ENSRNOG00000017302	0	1	0	0	0	1	0	0	1	0
ENSRNOG00000017930	53	36	36	24	19	48	14	21	48	20
ENSRNOG00000053180	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000047971	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000049394	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000012720	108	69	88	81	61	129	76	113	122	87
ENSRNOG00000060323	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000057164	1	0	0	0	0	0	0	0	0	0
ENSRNOG00000012742	2	7	0	1	6	4	16	1	16	15
ENSRNOG00000058487	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000055826	0	0	1	0	0	0	0	0	0	0
ENSRNOG00000053323	0	0	0	0	0	0	0	1	1	0
ENSRNOG00000056842	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000033609	6	4	17	6	13	11	31	14	32	26
ENSRNOG00000054020	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054169	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000057928	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000057721	0	0	0	0	1	0	0	0	0	0
ENSRNOG00000016812	1	1	0	0	0	2	1	2	2	0
ENSRNOG00000047117	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000023053	291	174	189	164	152	228	174	168	232	155
ENSRNOG00000049434	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000052375	1	0	1	0	0	0	0	0	0	0
ENSRNOG00000017095	17	13	12	12	13	7	5	13	10	9
ENSRNOG00000055337	11	11	7	12	11	4	11	7	3	10
ENSRNOG00000057357	9	2	8	5	5	5	3	0	2	6
ENSRNOG00000017150	29	29	35	32	31	27	29	37	43	30
ENSRNOG00000043733	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000034075	175	182	147	217	199	274	194	221	219	167
ENSRNOG00000017254	153	107	116	115	94	142	100	107	127	68
ENSRNOG00000017601	4	5	1	2	0	6	2	3	3	1
ENSRNOG00000052644	1	5	6	10	7	4	4	5	6	9
ENSRNOG00000017613	94	63	94	71	84	101	75	62	109	53
ENSRNOG00000055880	0	0	0	1	0	0	0	0	0	0
ENSRNOG00000017678	0	0	1	0	0	3	2	1	0	2
ENSRNOG00000058077	0	0	0	1	0	1	0	0	1	0
ENSRNOG00000032150	2	1	1	1	2	4	0	1	3	1
ENSRNOG00000055957	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000047406	0	0	1	0	0	0	0	1	5	0
ENSRNOG00000027422	31	27	44	40	44	57	47	39	58	26
ENSRNOG00000017826	292	203	200	210	166	234	197	189	236	139
ENSRNOG00000042308	1	0	0	0	0	0	0	1	0	0
ENSRNOG00000058041	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000051377	8	5	6	7	2	2	3	6	11	4
ENSRNOG00000059310	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000017963	0	0	1	0	3	1	1	1	1	1
ENSRNOG00000049259	5	0	2	2	0	1	1	1	2	1
ENSRNOG00000016462	0	2	0	0	0	1	0	0	0	0
ENSRNOG00000056694	0	1	0	3	3	0	0	1	3	1
ENSRNOG00000049256	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000046712	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054816	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000049881	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000047145	1	1	1	0	3	1	1	0	0	0
ENSRNOG00000046353	0	0	0	0	1	0	2	0	1	0
ENSRNOG00000054466	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000057057	0	0	1	0	0	0	0	0	0	0
ENSRNOG00000053328	1	1	1	0	0	0	0	1	0	0
ENSRNOG00000023081	0	1	0	0	0	0	0	0	0	1
ENSRNOG00000016368	749	535	504	628	604	737	842	697	848	591
ENSRNOG00000016286	1	0	3	0	0	1	0	1	3	1
ENSRNOG00000053056	2	0	0	0	0	0	0	0	0	0
ENSRNOG00000016011	63	56	44	55	68	48	40	50	56	32
ENSRNOG00000019582	6	13	14	16	17	25	10	8	25	12
ENSRNOG00000055235	5	1	3	1	4	2	5	3	7	6
ENSRNOG00000019549	79	50	68	57	45	82	43	47	75	45
ENSRNOG00000019544	31	27	33	27	19	14	26	28	30	11
ENSRNOG00000019501	165	141	147	128	108	133	129	150	126	80
ENSRNOG00000019489	227	203	207	273	204	334	216	257	235	208
ENSRNOG00000054876	0	0	0	0	0	0	0	0	1	0
ENSRNOG00000024280	1	1	1	2	1	0	0	0	1	0
ENSRNOG00000019358	28	19	30	34	13	24	29	36	43	15
ENSRNOG00000057689	0	0	0	0	0	0	0	0	1	0
ENSRNOG00000055223	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000055166	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000018960	1725	963	1271	704	606	1167	865	845	1348	801
ENSRNOG00000052241	0	0	0	0	1	2	0	0	1	1
ENSRNOG00000018858	24	20	17	23	11	16	15	23	25	8
ENSRNOG00000053113	29	20	13	17	8	16	12	30	34	11
ENSRNOG00000018808	4	0	1	1	0	0	0	2	1	0
ENSRNOG00000054156	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000024077	5	4	4	3	2	3	2	6	11	4
ENSRNOG00000018773	40	22	24	34	22	23	25	25	35	25
ENSRNOG00000059321	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000055161	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000018690	5	10	6	3	3	7	6	7	9	5
ENSRNOG00000033265	0	0	1	0	0	0	1	0	0	1
ENSRNOG00000059050	1	1	0	0	0	2	0	2	2	0
ENSRNOG00000059359	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000060413	1	0	0	0	0	0	0	0	0	0
ENSRNOG00000018191	0	1	2	0	0	1	0	0	3	1
ENSRNOG00000060991	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000059866	1	1	0	0	2	0	0	0	0	0
ENSRNOG00000018163	0	2	0	3	0	1	1	1	0	1
ENSRNOG00000055098	1	0	0	0	0	0	0	0	1	0
ENSRNOG00000018052	77	35	62	48	42	51	33	43	44	39
ENSRNOG00000004144	3	2	3	4	0	0	0	0	1	0
ENSRNOG00000060056	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000016919	266	223	231	262	207	247	200	213	250	192
ENSRNOG00000057561	1	1	0	0	3	0	0	0	0	1
ENSRNOG00000016728	12	12	10	15	12	10	11	19	29	12
ENSRNOG00000056223	27	19	16	18	18	30	24	28	20	16
ENSRNOG00000023531	1	0	0	0	0	0	0	0	0	0
ENSRNOG00000016490	2	1	1	0	0	0	0	1	1	1
ENSRNOG00000059546	0	1	0	0	0	0	0	0	0	0
ENSRNOG00000054504	0	2	0	0	0	0	0	0	0	0
ENSRNOG00000053507	0	0	0	0	0	0	1	0	0	0
ENSRNOG00000053052	1	0	0	1	0	1	2	0	2	1
ENSRNOG00000017030	314	273	272	253	238	293	232	207	281	176
ENSRNOG00000016973	128	82	91	68	62	105	67	59	85	82
ENSRNOG00000029049	18	13	11	13	18	21	8	18	23	16
ENSRNOG00000058103	10	2	6	3	0	2	1	4	4	1
ENSRNOG00000046874	118	73	84	67	86	89	60	70	97	64
ENSRNOG00000017114	406	305	282	324	288	335	285	225	361	253
ENSRNOG00000017889	17	18	8	7	14	15	17	9	24	7
ENSRNOG00000018007	30	31	27	45	23	37	31	27	34	28
ENSRNOG00000018012	211	198	193	135	153	208	154	183	249	139
ENSRNOG00000045491	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000018158	70	46	48	44	60	52	56	48	57	32
ENSRNOG00000018207	14	8	5	15	10	16	14	14	16	12
ENSRNOG00000018321	2	2	3	0	0	0	0	1	3	0
ENSRNOG00000018524	162	91	88	100	72	130	145	136	199	102
ENSRNOG00000058299	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000018762	22	14	15	18	11	17	18	13	11	10
ENSRNOG00000018915	4	9	2	3	1	8	6	4	14	3
ENSRNOG00000058258	0	0	0	0	0	0	0	1	0	0
ENSRNOG00000018935	12	13	13	23	15	6	17	19	22	13
ENSRNOG00000030210	179	191	121	166	97	86	77	207	173	75
ENSRNOG00000054760	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058069	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000019048	3433	2545	2819	2890	2293	2707	2605	2385	2669	2342
ENSRNOG00000019091	222	173	175	180	174	223	180	200	211	146
ENSRNOG00000019189	0	2	2	0	2	2	2	2	1	0
ENSRNOG00000013975	5	1	0	1	5	6	2	1	1	3
ENSRNOG00000014160	81	57	86	51	45	68	42	75	85	40
ENSRNOG00000058152	66	75	56	65	71	46	51	72	83	33
ENSRNOG00000051969	1	0	0	0	1	0	0	0	0	0
ENSRNOG00000014582	170	128	108	109	122	176	104	115	134	105
ENSRNOG00000023140	2	1	2	3	0	0	2	0	1	0
ENSRNOG00000014965	0	0	2	0	0	0	0	0	4	1
ENSRNOG00000014971	0	0	1	1	1	0	0	0	2	0
ENSRNOG00000014997	1948	1533	1729	1401	1158	1681	1308	1473	1857	1190
ENSRNOG00000051780	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056441	0	0	0	1	0	5	0	0	0	1
ENSRNOG00000016337	5	7	4	4	5	8	2	12	2	2
ENSRNOG00000016625	0	0	0	0	0	0	1	1	0	0
